tasks.thisRepN,tasks.thisTrialN,tasks.thisN,tasks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,corrAns,colorName,trialCircle.started,trialCircle.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialText.started,trialText.stopped,trialCount.started,trialCount.stopped,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,15.786349900008645,None,,orange,17.433088200050406,18.194172500050627,None,0,17.433088200050406,None,17.433088200050406,18.194172500050627,17.433088200050406,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,1,0,1,0,,,space,blue,18.424697900016326,19.177265300008003,None,0,18.424697900016326,None,18.424697900016326,19.177265300008003,18.424697900016326,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,2,0,2,0,,,,orange,19.42347710003378,20.176952500012703,None,0,19.42347710003378,None,19.42347710003378,20.176952500012703,19.42347710003378,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,3,0,3,0,,,space,blue,20.425091600045562,21.17651650001062,None,0,20.425091600045562,None,20.425091600045562,21.17651650001062,20.425091600045562,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,4,0,4,0,,,space,blue,21.42099470004905,22.176375600043684,None,0,21.42099470004905,None,21.42099470004905,22.176375600043684,21.42099470004905,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,5,0,5,0,,,space,blue,22.420562600018457,23.176132900000084,None,0,22.420562600018457,None,22.420562600018457,23.176132900000084,22.420562600018457,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,6,0,6,0,,,space,blue,23.419308400014415,24.17593610001495,None,0,23.419308400014415,None,23.419308400014415,24.17593610001495,23.419308400014415,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,7,0,7,0,,,space,blue,24.41927559999749,25.175675000005867,None,0,24.41927559999749,None,24.41927559999749,25.175675000005867,24.41927559999749,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,8,0,8,0,,,space,blue,25.420237000042107,26.175291499996092,None,0,25.420237000042107,None,25.420237000042107,26.175291499996092,25.420237000042107,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,9,0,9,0,,,space,blue,26.415556300024036,27.175545800011605,None,0,26.415556300024036,None,26.415556300024036,27.175545800011605,26.415556300024036,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,10,0,10,0,,,space,blue,27.419307900010608,28.175132300006226,None,0,27.419307900010608,None,27.419307900010608,28.175132300006226,27.419307900010608,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,11,0,11,0,,,,orange,28.424811300006695,29.17483680002624,None,0,28.424811300006695,None,28.424811300006695,29.17483680002624,28.424811300006695,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,12,0,12,0,,,space,blue,29.415746800019406,30.174592500028666,None,0,29.415746800019406,None,29.415746800019406,30.174592500028666,29.415746800019406,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,13,0,13,0,,,space,blue,30.41579640004784,31.1743562000338,None,0,30.41579640004784,None,30.41579640004784,31.1743562000338,30.41579640004784,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,14,0,14,0,,,space,blue,31.41548700002022,32.17424480000045,None,0,31.41548700002022,None,31.41548700002022,32.17424480000045,31.41548700002022,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,15,0,15,0,,,space,blue,32.415984700026456,33.173632799996994,None,0,32.415984700026456,None,32.415984700026456,33.173632799996994,32.415984700026456,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,16,0,16,0,,,,orange,33.418103600037284,34.17369330005022,None,0,33.418103600037284,None,33.418103600037284,34.17369330005022,33.418103600037284,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,17,0,17,0,,,,orange,34.415695600037,35.1732152000186,None,0,34.415695600037,None,34.415695600037,35.1732152000186,34.415695600037,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,18,0,18,0,,,space,blue,35.41694060002919,36.17349519999698,None,0,35.41694060002919,None,35.41694060002919,36.17349519999698,35.41694060002919,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,19,0,19,0,,,space,blue,36.41405840002699,37.17273109999951,None,0,36.41405840002699,None,36.41405840002699,37.17273109999951,36.41405840002699,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
0,0,0,0,20,0,20,0,,,,orange,37.419427300046664,38.17254739999771,None,0,37.419427300046664,None,37.419427300046664,38.17254739999771,37.419427300046664,None,,,a,001,2020_Jul_30_2032,goNogoAlpha4,2020.1.3,60.07604425537386,
